2025-09-28T14:29:23.246194600 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T16:11:13.150132800 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T16:12:16.734070 | 0:0:0:0:0:0:0:1 | GET | /categories
2025-09-28T16:12:22.043590900 | 0:0:0:0:0:0:0:1 | POST | /categories
2025-09-28T16:12:31.221133900 | 0:0:0:0:0:0:0:1 | GET | /categories
2025-09-28T16:12:56.104346900 | 0:0:0:0:0:0:0:1 | PUT | /categories/6
2025-09-28T16:13:05.555481500 | 0:0:0:0:0:0:0:1 | GET | /categories
2025-09-28T16:13:21.878962300 | 0:0:0:0:0:0:0:1 | PUT | /categories/6/deactivate
2025-09-28T16:13:26.571169800 | 0:0:0:0:0:0:0:1 | GET | /categories
2025-09-28T16:13:41.917210400 | 0:0:0:0:0:0:0:1 | GET | /products
2025-09-28T16:14:00.403597700 | 0:0:0:0:0:0:0:1 | PUT | /categories/6
2025-09-28T16:14:23.329046200 | 0:0:0:0:0:0:0:1 | GET | /products
2025-09-28T16:14:34.633893100 | 0:0:0:0:0:0:0:1 | POST | /products
2025-09-28T16:14:54.043825 | 0:0:0:0:0:0:0:1 | POST | /products
2025-09-28T16:15:06.395159200 | 0:0:0:0:0:0:0:1 | GET | /products
2025-09-28T16:15:41.434594700 | 0:0:0:0:0:0:0:1 | PUT | /products/8
2025-09-28T16:15:47.985998700 | 0:0:0:0:0:0:0:1 | PUT | /products/8
2025-09-28T16:16:19.486512 | 0:0:0:0:0:0:0:1 | GET | /products
2025-09-28T16:16:30.736886900 | 0:0:0:0:0:0:0:1 | PUT | /products/8/deactivate
2025-09-28T16:16:49.495411600 | 0:0:0:0:0:0:0:1 | GET | /products
2025-09-28T16:35:45.578006300 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/index.html
2025-09-28T16:35:45.688884700 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui.css
2025-09-28T16:35:45.693819700 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui-standalone-preset.js
2025-09-28T16:35:45.700888600 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui-bundle.js
2025-09-28T16:35:45.702901400 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-initializer.js
2025-09-28T16:35:45.701880100 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/index.css
2025-09-28T16:35:45.932968800 | 0:0:0:0:0:0:0:1 | GET | /v3/api-docs/swagger-config
2025-09-28T16:35:45.932968800 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/favicon-32x32.png
2025-09-28T16:35:46.095064 | 0:0:0:0:0:0:0:1 | GET | /v3/api-docs
2025-09-28T16:35:46.105942 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/favicon-32x32.png
2025-09-28T16:35:51.300472100 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/favicon-32x32.png
2025-09-28T16:41:24.568591900 | 0:0:0:0:0:0:0:1 | POST | /auth/login
2025-09-28T17:19:15.947432800 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui.html
2025-09-28T17:19:16.029344700 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/index.html
2025-09-28T17:19:16.067388400 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui.css
2025-09-28T17:19:16.071420100 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/index.css
2025-09-28T17:19:16.079501 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui-bundle.js
2025-09-28T17:19:16.081523800 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-initializer.js
2025-09-28T17:19:16.083548 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui-standalone-preset.js
2025-09-28T17:19:16.247235400 | 0:0:0:0:0:0:0:1 | GET | /v3/api-docs/swagger-config
2025-09-28T17:19:16.265588400 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/favicon-32x32.png
2025-09-28T17:19:16.303661 | 0:0:0:0:0:0:0:1 | GET | /v3/api-docs
2025-09-28T17:24:40.876459900 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/index.html
2025-09-28T17:24:40.938073800 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui-bundle.js
2025-09-28T17:24:40.941132400 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-initializer.js
2025-09-28T17:24:40.942172200 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui.css
2025-09-28T17:24:40.943193300 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui-standalone-preset.js
2025-09-28T17:24:40.943193300 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/index.css
2025-09-28T17:24:41.121266100 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/favicon-32x32.png
2025-09-28T17:24:41.122812200 | 0:0:0:0:0:0:0:1 | GET | /v3/api-docs/swagger-config
2025-09-28T17:24:41.216668400 | 0:0:0:0:0:0:0:1 | GET | /v3/api-docs
2025-09-28T17:26:46.545441300 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/index.html
2025-09-28T17:26:46.577448800 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/index.css
2025-09-28T17:26:46.581086600 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui-bundle.js
2025-09-28T17:26:46.581086600 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui-standalone-preset.js
2025-09-28T17:26:46.583138600 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-initializer.js
2025-09-28T17:26:46.582099600 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/swagger-ui.css
2025-09-28T17:26:47.073225900 | 0:0:0:0:0:0:0:1 | GET | /v3/api-docs/swagger-config
2025-09-28T17:26:47.074262700 | 0:0:0:0:0:0:0:1 | GET | /swagger-ui/favicon-32x32.png
2025-09-28T17:26:47.087303100 | 0:0:0:0:0:0:0:1 | GET | /v3/api-docs
